acc_date,type,reg,operator,fat,location,dmg,plane_type
2021-02-09 00:00:00,Antonov An-12BK,RF-95416,Russian Air Force,0.0,Iturup Airport (ITU),sub,ANTONOV AN-12BK
2021-02-10 00:00:00,Airbus A320-214 (WL),HZ-FAB,Flyadeal,0.0,Abha International Airport (OHB),sub,AIRBUS A320-214 (WL)
2021-02-13 00:00:00,Dassault Falcon 900EX EASy,N823RC,Aerospike Iron LLC,0.0,"San Diego-Montgomery-Gibbs Executive Airport, CA (MYF)",sub,DASSAULT FALCON 900EX EASY
2021-02-14 00:00:00,de Havilland Canada DHC-6 Twin Otter 300,8Q-RAE,Manta Air,0.0,Malé-Velana International Airport (MLE),sub,DE HAVILLAND CANADA DHC-6 TWIN OTTER 300
2021-02-15 00:00:00,de Havilland Canada DHC-6 Twin Otter 300,F-RACA,Armée de l'air et de l'espace,0.0,Blois-Le-Breuil airfield (LFOQ),sub,DE HAVILLAND CANADA DHC-6 TWIN OTTER 300
2021-02-18 00:00:00,Learjet 55C,N559RA,Royal Air Freight,0.0,"Jeffersonville-Clark Regional Airport, IN (JVY)",sub,LEARJET 55C
2021-02-20 00:00:00,Boeing 737-86N (WL),VT-GHE,Air India Express,0.0,Vijayawada Airport (VGA),sub,BOEING 737-86N (WL)
2021-02-20 00:00:00,de Havilland Canada DHC-3T Vazar Turbine Otter,C-FFVZ,Wings Over Kississing,0.0,"Kaskattama Airstrip, MB",sub,DE HAVILLAND CANADA DHC-3T VAZAR TURBINE OTTER
2021-02-21 00:00:00,Beechcraft 200 Super King Air,UNKNOWN,private,0.0,"San Andrés, Petén",w/o,BEECHCRAFT 200 SUPER KING AIR
2021-02-21 00:00:00,Learjet 45XR,3912,Fuerza Aérea Mexicana,6.0,near Xalapa Airport (JAL),w/o,LEARJET 45XR
2021-02-21 00:00:00,Beechcraft B300 King Air 350,NAF201,Nigerian Air Force - NAF,7.0,NE of Abuja-Nnamdi Azikiwe International Airport (ABV),w/o,BEECHCRAFT B300 KING AIR 350
2021-02-26 00:00:00,Antonov An-2T,UP-A0351,Asia Continental Airlines,0.0,near Boraldai,sub,ANTONOV AN-2T
2021-02-28 00:00:00,Douglas DC-3C,HK-2006,ALIANSA Colombia,0.0,Monfort Airport (MFB),sub,DOUGLAS DC-3C
2021-03-01 00:00:00,ATR 72-500 (72-212A),7T-VUK,Air Algérie,0.0,Ghardaïa-Noumérat Airport (GHA),Unknown,ATR 72-500 (72-212A)
2021-03-01 00:00:00,Beechcraft B300 King Air 350i,B-10GD,"Beidahuang General Airlines, opf China Met, Administration",5.0,"Shanghu, Ji'an County",w/o,BEECHCRAFT B300 KING AIR 350I
2021-03-02 00:00:00,Let L-410UVP-E,(HK-4274),South Sudan Supreme Airlines,10.0,Pieri,w/o,LET L-410UVP-E
2021-03-04 00:00:00,Fokker 100,EP-CFM,Iran Air,0.0,Isfahan Airport,non,FOKKER 100
2021-03-07 00:00:00,Embraer EMB-120ER Brasilia,N233SW,Berry Aviation,0.0,"Detroit-Willow Run Airport, MI (YIP)",sub,EMBRAER EMB-120ER BRASILIA
2021-03-10 00:00:00,Cessna 208B Grand Caravan,PK-MAD,Mission Aviation Fellowship - MAF,0.0,Angguruk Airstrip,sub,CESSNA 208B GRAND CARAVAN
2021-03-12 00:00:00,Cessna 208B Grand Caravan,N407GV,Grant Aviation,0.0,"Chevak Airport, AK (VAK)",sub,CESSNA 208B GRAND CARAVAN
2021-03-13 00:00:00,Antonov An-26,02 white,Kazakhstan Border Guards,4.0,Almaty Airport (ALA),w/o,ANTONOV AN-26
2021-03-15 00:00:00,Boeing 777-223ER,N789AN,American Airlines,0.0,"Fort Worth, Texas",non,BOEING 777-223ER
2021-03-16 00:00:00,Bombardier CRJ-701ER,N706SK,Skywest Airlines,0.0,"Los Angeles International Airport, CA (LAX/KLAX)",non,BOMBARDIER CRJ-701ER
2021-03-18 00:00:00,Airbus A320-232,XA-VAZ,Viva Aerobus,0.0,Puerto Vallarta-Gustavo D. Ordaz Airport (PVR),sub,AIRBUS A320-232
2021-03-19 00:00:00,Antonov An-2T,YV3312,Venezuela Flight Canaima,0.0,Kapaure,sub,ANTONOV AN-2T
2021-03-20 00:00:00,Cessna 208B Grand Caravan,5Y-JKN,Aeronav Air Services,2.0,"3,5 km SW of Marsabit Airport (RBT)",w/o,CESSNA 208B GRAND CARAVAN
2021-03-20 00:00:00,Boeing 737-4Y0,PK-YSF,Trigana Air Service,0.0,Jakarta-Halim Perdana Kusuma Airport (HLP),sub,BOEING 737-4Y0
2021-03-23 00:00:00,Saab 340AF,SP-KPU,SprintAir,0.0,Gdansk-Lech Walesa Airport (GDN),sub,SAAB 340AF
2021-03-25 00:00:00,Embraer,UNKNOWN,Mauritania Airlines International,0.0,Nouakchott-Oumtounsy International Airport (NKC),non,EMBRAER
2021-03-26 00:00:00,Beechcraft B200 Super King Air,5Y-NJS,West Wind Aviation Ltd.,0.0,Nairobi,w/o,BEECHCRAFT B200 SUPER KING AIR
2021-03-28 00:00:00,Embraer EMB-145LR,N650AE,"American Eagle , opb Piedmont Airlines",0.0,"Charlotte-Douglas International Airport, NC (CLT/KCLT)",non,EMBRAER EMB-145LR
2021-04-02 00:00:00,Boeing 737-8AS (WL),9H-QCJ,Malta Air,0.0,Malta-Luqa Airport (MLA),non,BOEING 737-8AS (WL)
